QKEY,ENV2_a_W108,ENV2_b_W108,ENV2_c_W108,ENV2_d_W108,ENV2_e_W108,ENV2_f_W108,ENKNOW1_W108,ENKNOW2_W108,EN1_W108,GASXPORT1_W108,GASXPORT2_a_W108,GASXPORT2_b_W108,GASXPORT2_c_W108,EVCAR2_W108,EVCAR3_W108,EVCAR1_W108,LAWCOST_W108,ENVIR8_a_W108,ENVIR8_b_W108,ENVIR8_c_W108,ENVIR8_d_W108,ENVIR8_e_W108,LOCENV_a_W108,LOCENV_d_W108,LOCENV_e_W108,ENVRMPCT_a_W108,ENVRMPCT_b_W108,ENVRMPCT_c_W108,ENVRMPCT_d_W108,ENVRMPCT_e_W108,CCPOLICY_a_W108,CCPOLICY_b_W108,CCPOLICY_c_W108,CCPOLICY_d_W108,CCPOLICY_e_W108,BIDENC4_W108,MARITAL_W108,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2
1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,3,3,4,1,2,2,2,2,1,2,1,2,2,2,6,1,4,9,4,1,1,5,2,1,1,1,1,1,6,12,3,5,1,1,1,4,1,1,2,2,2
2,2,1,1,1,2,1,1,1,1,2,3,3,1,2,1,2,2,2,2,2,2,3,4,4,4,2,2,2,2,2,1,2,2,1,1,2,3,2,2,3,4,1,2,3,2,1,1,1,1,1,3,1,1,5,1,1,2,3,1,4,2,1,2
3,1,1,1,1,1,1,2,1,1,2,2,3,1,2,2,2,1,2,3,3,3,3,2,2,3,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,6,2,1,1,1,1,1,1,2,2,4,2,2,3,9,1,3,2,2,3
4,2,2,2,1,2,1,3,1,1,1,2,1,2,2,1,2,2,2,2,2,3,2,3,2,4,1,2,2,2,1,1,1,1,1,1,1,1,1,4,9,3,2,1,6,2,1,1,1,1,1,1,1,1,5,1,1,1,9,1,2,2,1,3
5,1,1,1,1,1,1,2,1,2,2,3,2,1,3,2,2,1,1,2,2,2,1,4,4,4,2,2,2,2,2,1,1,2,1,2,2,1,1,3,5,4,2,2,4,2,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,5,2,1
6,1,2,2,1,99,1,2,1,1,2,2,1,1,4,2,2,1,3,3,3,3,1,4,4,4,1,2,2,2,2,1,2,1,1,2,2,1,2,2,4,4,2,1,5,2,1,1,1,1,1,1,1,1,2,1,1,1,9,1,2,4,1,3
7,1,2,1,1,1,2,2,1,2,2,3,1,2,4,2,2,1,1,1,1,1,1,4,4,4,2,2,2,2,2,1,1,2,2,2,2,1,1,3,5,4,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,2
8,1,1,1,2,1,2,2,1,2,1,3,3,1,4,2,2,1,3,3,3,3,1,4,3,4,1,2,2,2,2,1,2,2,2,2,2,3,2,2,4,3,2,2,4,2,1,1,1,1,1,3,1,1,2,3,1,1,1,1,2,2,2,2
9,1,2,2,1,2,1,3,1,2,2,2,3,1,3,2,2,1,3,3,2,2,3,2,1,1,1,1,2,2,2,1,1,1,1,1,2,5,1,4,8,3,2,2,3,2,1,3,5,1,1,5,1,1,5,1,1,1,9,1,2,1,1,3
10,1,2,1,2,1,2,2,1,2,1,3,3,1,4,2,2,99,3,3,3,3,3,3,3,4,2,2,2,2,2,1,2,2,2,2,2,1,1,4,9,3,1,2,3,1,1,1,3,1,1,1,12,3,6,1,1,1,6,1,2,2,2,2
