QKEY,Unique ID
ENV2_a_W108,ENV2_a_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More offshore oil and gas drilling in U.S. waters
ENV2_b_W108,ENV2_b_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More nuclear power plants to generate electricity
ENV2_c_W108,ENV2_c_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More coal mining
ENV2_d_W108,ENV2_d_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More solar panel “farms”
ENV2_e_W108,"ENV2_e_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More hydraulic fracturing, sometimes called “fracking,” for oil and natural gas"
ENV2_f_W108,ENV2_f_W108. Do you favor or oppose EXPANDING each of the following sources of energy in our country?    More wind turbine “farms”
ENKNOW1_W108,"ENKNOW1_W108. As far as you know, to meet its energy needs, does the U.S.…"
ENKNOW2_W108,"ENKNOW2_W108. As far as you know, to meet its energy needs, does the U.S rely mostly on…"
EN1_W108,"EN1_W108. Right now, which ONE of the following do you think should be the more important priority for addressing America’s energy supply?"
GASXPORT1_W108,"GASXPORT1_W108. Overall, would you favor or oppose the U.S. expanding natural gas production to export large amounts of natural gas to European countries?"
GASXPORT2_a_W108,"GASXPORT2_a_W108. When it comes to whether the U.S. should export large amounts of natural gas to European countries, how much of a consideration should each of the following be?    The impact on climate change"
GASXPORT2_b_W108,"GASXPORT2_b_W108. When it comes to whether the U.S. should export large amounts of natural gas to European countries, how much of a consideration should each of the following be?    The impact on the Russian economy"
GASXPORT2_c_W108,"GASXPORT2_c_W108. When it comes to whether the U.S. should export large amounts of natural gas to European countries, how much of a consideration should each of the following be?    The impact on natural gas prices in the U.S."
EVCAR2_W108,"EVCAR2_W108. The next time you purchase a vehicle, how likely are you to seriously consider purchasing an electric vehicle?"
EVCAR2B_a_W108,EVCAR2B_a_W108. How much of a reason is each of the following for why you would consider purchasing an electric vehicle?    To save money on gas
EVCAR2B_b_W108,EVCAR2B_b_W108. How much of a reason is each of the following for why you would consider purchasing an electric vehicle?    To help the environment
